,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards
528,Mississippi State,SEC,FG,"{'minutes': 1, 'seconds': 2}",4,{},67,400869031,40086903128,Kentucky,SEC,7,True,4,"{'minutes': 1, 'seconds': 2}",21,46
529,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 50}",2,"{'minutes': 12, 'seconds': 10}",88,400869037,40086903710,Samford,,3,False,2,{'minutes': 14},91,3
530,Samford,,PUNT,{'seconds': 51},2,"{'minutes': 11, 'seconds': 19}",57,400869037,40086903711,Mississippi State,SEC,4,False,2,"{'minutes': 12, 'seconds': 10}",43,14
531,Mississippi State,SEC,INT,{'seconds': 14},2,"{'minutes': 11, 'seconds': 5}",93,400869037,40086903712,Samford,,2,False,2,"{'minutes': 11, 'seconds': 19}",93,0
532,Samford,,DOWNS,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 9, 'seconds': 20}",99,400869037,40086903713,Mississippi State,SEC,4,False,2,"{'minutes': 11, 'seconds': 5}",94,5
533,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 26}",2,"{'minutes': 7, 'seconds': 54}",78,400869037,40086903714,Samford,,4,False,2,"{'minutes': 9, 'seconds': 20}",99,21
534,Samford,,PUNT,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 6, 'seconds': 9}",42,400869037,40086903715,Mississippi State,SEC,3,False,2,"{'minutes': 7, 'seconds': 54}",33,9
535,Mississippi State,SEC,TD,"{'minutes': 1, 'seconds': 10}",2,"{'minutes': 4, 'seconds': 59}",0,400869037,40086903716,Samford,,5,True,2,"{'minutes': 6, 'seconds': 9}",80,80
536,Samford,,TD,{'seconds': 16},2,"{'minutes': 4, 'seconds': 43}",100,400869037,40086903717,Mississippi State,SEC,1,True,2,"{'minutes': 4, 'seconds': 59}",26,74
537,Mississippi State,SEC,PUNT,"{'minutes': 4, 'seconds': 30}",2,{'seconds': 13},44,400869037,40086903718,Samford,,12,False,2,"{'minutes': 4, 'seconds': 43}",94,50
538,Samford,,END OF HALF,{'seconds': 13},2,{},17,400869037,40086903719,Mississippi State,SEC,1,False,2,{'seconds': 13},13,4
539,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 3}",3,"{'minutes': 12, 'seconds': 57}",36,400869037,40086903720,Samford,,7,False,3,{'minutes': 15},75,39
540,Samford,,TD,"{'minutes': 4, 'seconds': 54}",3,"{'minutes': 8, 'seconds': 3}",100,400869037,40086903721,Mississippi State,SEC,12,True,3,"{'minutes': 12, 'seconds': 57}",1,99
541,Mississippi State,SEC,TD,"{'minutes': 1, 'seconds': 22}",3,"{'minutes': 6, 'seconds': 41}",0,400869037,40086903722,Samford,,5,True,3,"{'minutes': 8, 'seconds': 3}",65,65
542,Samford,,TD,"{'minutes': 1, 'seconds': 21}",3,"{'minutes': 5, 'seconds': 20}",100,400869037,40086903723,Mississippi State,SEC,5,True,3,"{'minutes': 6, 'seconds': 41}",25,75
543,Mississippi State,SEC,INT TD,"{'minutes': 2, 'seconds': 32}",3,"{'minutes': 2, 'seconds': 48}",78,400869037,40086903724,Samford,,7,True,3,"{'minutes': 5, 'seconds': 20}",76,14
544,Mississippi State,SEC,TD,{'seconds': 26},3,"{'minutes': 2, 'seconds': 22}",0,400869037,40086903725,Samford,,2,True,3,"{'minutes': 2, 'seconds': 48}",75,75
545,Samford,,PUNT,"{'minutes': 1, 'seconds': 50}",3,{'seconds': 32},43,400869037,40086903726,Mississippi State,SEC,4,False,3,"{'minutes': 2, 'seconds': 22}",25,18
546,Mississippi State,SEC,TD,"{'minutes': 3, 'seconds': 14}",4,"{'minutes': 12, 'seconds': 18}",0,400869037,40086903727,Samford,,12,True,3,{'seconds': 32},65,65
547,Samford,,MISSED FG,"{'minutes': 3, 'seconds': 22}",4,"{'minutes': 8, 'seconds': 56}",95,400869037,40086903728,Mississippi State,SEC,8,False,4,"{'minutes': 12, 'seconds': 18}",23,72
548,Mississippi State,SEC,PUNT,{'seconds': 26},4,"{'minutes': 8, 'seconds': 30}",80,400869037,40086903729,Samford,,3,False,4,"{'minutes': 8, 'seconds': 56}",80,0
549,Samford,,TD,"{'minutes': 3, 'seconds': 16}",4,"{'minutes': 5, 'seconds': 14}",100,400869037,40086903730,Mississippi State,SEC,8,True,4,"{'minutes': 8, 'seconds': 30}",47,53
550,Mississippi State,SEC,DOWNS,"{'minutes': 4, 'seconds': 49}",4,{'seconds': 25},22,400869037,40086903731,Samford,,20,False,4,"{'minutes': 5, 'seconds': 14}",77,48
551,Samford,,END OF GAME,{'seconds': 25},4,{},20,400869037,40086903732,Mississippi State,SEC,1,False,4,{'seconds': 25},22,-2
552,Texas A&M,SEC,TD,{'seconds': 11},2,"{'minutes': 10, 'seconds': 53}",100,400869046,40086904610,Mississippi State,SEC,1,True,2,"{'minutes': 11, 'seconds': 4}",40,60
553,Mississippi State,SEC,PUNT,{'seconds': 37},2,"{'minutes': 10, 'seconds': 16}",75,400869046,40086904611,Texas A&M,SEC,3,False,2,"{'minutes': 10, 'seconds': 53}",75,0
554,Texas A&M,SEC,TD,"{'minutes': 6, 'seconds': 22}",2,"{'minutes': 3, 'seconds': 54}",100,400869046,40086904612,Mississippi State,SEC,14,True,2,"{'minutes': 10, 'seconds': 16}",28,72
555,Mississippi State,SEC,PUNT,{'seconds': 37},2,"{'minutes': 3, 'seconds': 17}",62,400869046,40086904613,Texas A&M,SEC,3,False,2,"{'minutes': 3, 'seconds': 54}",65,3
556,Texas A&M,SEC,PUNT RETURN TD,"{'minutes': 2, 'seconds': 58}",2,{'seconds': 19},37,400869046,40086904614,Mississippi State,SEC,8,True,2,"{'minutes': 3, 'seconds': 17}",14,23
557,Texas A&M,SEC,END OF HALF,{'seconds': 19},2,{},28,400869046,40086904615,Mississippi State,SEC,1,False,2,{'seconds': 19},30,-2
558,Texas A&M,SEC,PUNT,"{'minutes': 1, 'seconds': 31}",3,"{'minutes': 13, 'seconds': 29}",35,400869046,40086904616,Mississippi State,SEC,5,False,3,{'minutes': 15},25,10
559,Mississippi State,SEC,MISSED FG,"{'minutes': 3, 'seconds': 36}",3,"{'minutes': 9, 'seconds': 53}",9,400869046,40086904617,Texas A&M,SEC,9,False,3,"{'minutes': 13, 'seconds': 29}",87,78
560,Texas A&M,SEC,PUNT,{'seconds': 52},3,"{'minutes': 9, 'seconds': 1}",20,400869046,40086904618,Mississippi State,SEC,3,False,3,"{'minutes': 9, 'seconds': 53}",20,0
561,Mississippi State,SEC,FUMBLE,"{'minutes': 1, 'seconds': 8}",3,"{'minutes': 7, 'seconds': 53}",50,400869046,40086904619,Texas A&M,SEC,3,False,3,"{'minutes': 9, 'seconds': 1}",55,3
562,Texas A&M,SEC,MISSED FG,"{'minutes': 2, 'seconds': 2}",3,"{'minutes': 5, 'seconds': 51}",86,400869046,40086904620,Mississippi State,SEC,6,False,3,"{'minutes': 7, 'seconds': 53}",52,34
563,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 19}",3,"{'minutes': 4, 'seconds': 32}",75,400869046,40086904621,Texas A&M,SEC,3,False,3,"{'minutes': 5, 'seconds': 51}",80,5
564,Texas A&M,SEC,INT,"{'minutes': 3, 'seconds': 27}",3,"{'minutes': 1, 'seconds': 5}",85,400869046,40086904622,Mississippi State,SEC,7,False,3,"{'minutes': 4, 'seconds': 32}",28,57
565,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 47}",4,"{'minutes': 14, 'seconds': 18}",60,400869046,40086904623,Texas A&M,SEC,4,False,3,"{'minutes': 1, 'seconds': 5}",80,20
