,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
425,Georgia State,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 59}",1.0,"{'minutes': 9, 'seconds': 53}",37.0,400547749.0,4005477492,Clemson,ACC,5.0,False,2014,1.0,"{'minutes': 11, 'seconds': 52}",21.0,16.0
426,Clemson,ACC,PUNT,{'seconds': 59},1.0,"{'minutes': 8, 'seconds': 54}",76.0,400547749.0,4005477493,Georgia State,Sun Belt,3.0,False,2014,1.0,"{'minutes': 9, 'seconds': 53}",81.0,5.0
427,Georgia State,Sun Belt,INT,{'seconds': 27},1.0,"{'minutes': 8, 'seconds': 27}",63.0,400547749.0,4005477494,Clemson,ACC,2.0,False,2014,1.0,"{'minutes': 8, 'seconds': 54}",51.0,12.0
428,Clemson,ACC,PUNT,{'seconds': 52},1.0,"{'minutes': 7, 'seconds': 35}",91.0,400547749.0,4005477495,Georgia State,Sun Belt,3.0,False,2014,1.0,"{'minutes': 8, 'seconds': 27}",94.0,3.0
429,Georgia State,Sun Belt,TD,"{'minutes': 1, 'seconds': 34}",1.0,"{'minutes': 6, 'seconds': 1}",100.0,400547749.0,4005477496,Clemson,ACC,5.0,True,2014,1.0,"{'minutes': 7, 'seconds': 35}",70.0,30.0
430,Clemson,ACC,INT,"{'minutes': 3, 'seconds': 26}",1.0,"{'minutes': 2, 'seconds': 35}",27.0,400547749.0,4005477497,Georgia State,Sun Belt,8.0,False,2014,1.0,"{'minutes': 6, 'seconds': 1}",53.0,41.0
431,Georgia State,Sun Belt,TD,"{'minutes': 1, 'seconds': 39}",1.0,{'seconds': 56},100.0,400547749.0,4005477498,Clemson,ACC,4.0,True,2014,1.0,"{'minutes': 2, 'seconds': 35}",74.0,26.0
432,Clemson,ACC,PUNT,"{'minutes': 2, 'seconds': 42}",2.0,"{'minutes': 13, 'seconds': 14}",68.0,400547749.0,4005477499,Georgia State,Sun Belt,6.0,False,2014,1.0,{'seconds': 56},0.0,7.0
433,Georgia State,Sun Belt,TD,"{'minutes': 2, 'seconds': 54}",1.0,"{'minutes': 12, 'seconds': 6}",0.0,400548189.0,4005481891,Air Force,Mountain West,9.0,True,2014,1.0,{'minutes': 15},73.0,73.0
434,Air Force,Mountain West,DOWNS,"{'minutes': 4, 'seconds': 12}",1.0,"{'minutes': 7, 'seconds': 54}",80.0,400548189.0,4005481892,Georgia State,Sun Belt,10.0,False,2014,1.0,"{'minutes': 12, 'seconds': 6}",22.0,58.0
435,Georgia State,Sun Belt,TD,"{'minutes': 2, 'seconds': 37}",1.0,"{'minutes': 5, 'seconds': 17}",0.0,400548189.0,4005481893,Air Force,Mountain West,7.0,True,2014,1.0,"{'minutes': 7, 'seconds': 54}",80.0,80.0
436,Air Force,Mountain West,PUNT,"{'minutes': 2, 'seconds': 37}",1.0,"{'minutes': 2, 'seconds': 40}",56.0,400548189.0,4005481894,Georgia State,Sun Belt,6.0,False,2014,1.0,"{'minutes': 5, 'seconds': 17}",31.0,25.0
437,Georgia State,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 50}",2.0,"{'minutes': 14, 'seconds': 50}",67.0,400548189.0,4005481895,Air Force,Mountain West,6.0,False,2014,1.0,"{'minutes': 2, 'seconds': 40}",87.0,20.0
438,Air Force,Mountain West,TD,"{'minutes': 2, 'seconds': 1}",2.0,"{'minutes': 12, 'seconds': 49}",100.0,400548189.0,4005481896,Georgia State,Sun Belt,4.0,True,2014,2.0,"{'minutes': 14, 'seconds': 50}",44.0,56.0
439,Georgia State,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 10}",2.0,"{'minutes': 10, 'seconds': 39}",56.0,400548189.0,4005481897,Air Force,Mountain West,5.0,False,2014,2.0,"{'minutes': 12, 'seconds': 49}",87.0,31.0
440,Air Force,Mountain West,INT,{'seconds': 8},2.0,"{'minutes': 10, 'seconds': 31}",19.0,400548189.0,4005481898,Georgia State,Sun Belt,1.0,False,2014,2.0,"{'minutes': 10, 'seconds': 39}",19.0,0.0
441,Georgia State,Sun Belt,TD,"{'minutes': 1, 'seconds': 26}",2.0,"{'minutes': 9, 'seconds': 5}",0.0,400548189.0,4005481899,Air Force,Mountain West,3.0,True,2014,2.0,"{'minutes': 10, 'seconds': 31}",14.0,14.0
442,Washington,Pac-12,INT,"{'minutes': 3, 'seconds': 27}",1.0,"{'minutes': 11, 'seconds': 33}",62.0,400548268.0,4005482681,Georgia State,Sun Belt,8.0,False,2014,1.0,{'minutes': 15},92.0,30.0
443,Georgia State,Sun Belt,DOWNS,"{'minutes': 2, 'seconds': 8}",1.0,"{'minutes': 9, 'seconds': 25}",76.0,400548268.0,4005482682,Washington,Pac-12,8.0,False,2014,1.0,"{'minutes': 11, 'seconds': 33}",56.0,20.0
