,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
756,Toledo,Mid-American,TD,"{'minutes': 5, 'seconds': 34}",1.0,"{'minutes': 9, 'seconds': 26}",0.0,400548144.0,4005481441,UMass,Mid-American,14.0,True,2014,1.0,{'minutes': 15},80.0,80.0
757,UMass,Mid-American,PUNT,{'seconds': 54},1.0,"{'minutes': 8, 'seconds': 32}",20.0,400548144.0,4005481442,Toledo,Mid-American,3.0,False,2014,1.0,"{'minutes': 9, 'seconds': 26}",22.0,-2.0
758,Toledo,Mid-American,TD,"{'minutes': 1, 'seconds': 58}",1.0,"{'minutes': 6, 'seconds': 34}",0.0,400548144.0,4005481443,UMass,Mid-American,5.0,True,2014,1.0,"{'minutes': 8, 'seconds': 32}",55.0,55.0
759,UMass,Mid-American,TD,"{'minutes': 4, 'seconds': 30}",1.0,"{'minutes': 2, 'seconds': 4}",100.0,400548144.0,4005481444,Toledo,Mid-American,12.0,True,2014,1.0,"{'minutes': 6, 'seconds': 34}",25.0,75.0
760,Toledo,Mid-American,PUNT,"{'minutes': 2, 'seconds': 3}",1.0,{'seconds': 1},65.0,400548144.0,4005481445,UMass,Mid-American,5.0,False,2014,1.0,"{'minutes': 2, 'seconds': 4}",75.0,10.0
761,UMass,Mid-American,INT,{'seconds': 8},2.0,"{'minutes': 14, 'seconds': 53}",15.0,400548144.0,4005481446,Toledo,Mid-American,1.0,False,2014,1.0,{'seconds': 1},15.0,0.0
762,Toledo,Mid-American,TD,"{'minutes': 1, 'seconds': 56}",2.0,"{'minutes': 12, 'seconds': 57}",0.0,400548144.0,4005481447,UMass,Mid-American,5.0,True,2014,2.0,"{'minutes': 14, 'seconds': 53}",30.0,30.0
763,UMass,Mid-American,TD,"{'minutes': 6, 'seconds': 31}",2.0,"{'minutes': 6, 'seconds': 26}",100.0,400548144.0,4005481448,Toledo,Mid-American,13.0,True,2014,2.0,"{'minutes': 12, 'seconds': 57}",6.0,94.0
764,Toledo,Mid-American,DOWNS,"{'minutes': 3, 'seconds': 28}",2.0,"{'minutes': 2, 'seconds': 58}",23.0,400548144.0,4005481449,UMass,Mid-American,9.0,False,2014,2.0,"{'minutes': 6, 'seconds': 26}",75.0,52.0
765,Ball State,Mid-American,TD,"{'minutes': 1, 'seconds': 2}",1.0,"{'minutes': 13, 'seconds': 58}",100.0,400548153.0,4005481531,UMass,Mid-American,3.0,True,2014,1.0,{'minutes': 15},23.0,77.0
