,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
417,Appalachian State,Sun Belt,INT,"{'minutes': 1, 'seconds': 14}",4.0,"{'minutes': 8, 'seconds': 39}",87.0,400550418.0,40055041821,Georgia Southern,Sun Belt,3.0,False,2014,4.0,"{'minutes': 9, 'seconds': 53}",66.0,4.0
418,Georgia Southern,Sun Belt,DOWNS,"{'minutes': 2, 'seconds': 34}",4.0,"{'minutes': 6, 'seconds': 5}",12.0,400550418.0,40055041822,Appalachian State,Sun Belt,11.0,False,2014,4.0,"{'minutes': 8, 'seconds': 39}",87.0,75.0
419,Appalachian State,Sun Belt,END OF GAME,"{'minutes': 6, 'seconds': 5}",4.0,{},86.0,400550418.0,40055041823,Georgia Southern,Sun Belt,10.0,False,2014,4.0,"{'minutes': 6, 'seconds': 5}",12.0,74.0
420,Georgia Southern,Sun Belt,END OF HALF,{'seconds': 44},2.0,{},81.0,400550420.0,40055042010,Troy,Sun Belt,2.0,False,2014,2.0,{'seconds': 44},81.0,0.0
421,Troy,Sun Belt,TD,"{'minutes': 4, 'seconds': 13}",3.0,"{'minutes': 10, 'seconds': 47}",100.0,400550420.0,40055042011,Georgia Southern,Sun Belt,9.0,True,2014,3.0,{'minutes': 15},16.0,84.0
422,Georgia Southern,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 37}",3.0,"{'minutes': 8, 'seconds': 10}",10.0,400550420.0,40055042012,Troy,Sun Belt,6.0,False,2014,3.0,"{'minutes': 10, 'seconds': 47}",75.0,16.0
423,Troy,Sun Belt,PUNT,"{'minutes': 5, 'seconds': 44}",3.0,"{'minutes': 2, 'seconds': 26}",90.0,400550420.0,40055042013,Georgia Southern,Sun Belt,9.0,False,2014,3.0,"{'minutes': 8, 'seconds': 10}",10.0,43.0
424,Georgia Southern,Sun Belt,PUNT,"{'minutes': 1, 'seconds': 38}",3.0,{'seconds': 48},50.0,400550420.0,40055042014,Troy,Sun Belt,3.0,False,2014,3.0,"{'minutes': 2, 'seconds': 26}",90.0,3.0
425,Troy,Sun Belt,TD,"{'minutes': 1, 'seconds': 27}",4.0,"{'minutes': 14, 'seconds': 21}",100.0,400550420.0,40055042015,Georgia Southern,Sun Belt,4.0,True,2014,3.0,{'seconds': 48},50.0,50.0
426,Georgia Southern,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 2}",4.0,"{'minutes': 12, 'seconds': 19}",45.0,400550420.0,40055042016,Troy,Sun Belt,3.0,False,2014,4.0,"{'minutes': 14, 'seconds': 21}",75.0,-3.0
427,Troy,Sun Belt,TD,"{'minutes': 6, 'seconds': 21}",4.0,"{'minutes': 5, 'seconds': 58}",100.0,400550420.0,40055042017,Georgia Southern,Sun Belt,10.0,True,2014,4.0,"{'minutes': 12, 'seconds': 19}",45.0,55.0
428,Georgia Southern,Sun Belt,TD,"{'minutes': 4, 'seconds': 40}",4.0,"{'minutes': 1, 'seconds': 18}",0.0,400550420.0,40055042018,Troy,Sun Belt,10.0,True,2014,4.0,"{'minutes': 5, 'seconds': 58}",74.0,74.0
429,Troy,Sun Belt,END OF GAME,"{'minutes': 1, 'seconds': 18}",4.0,{},61.0,400550420.0,40055042019,Georgia Southern,Sun Belt,2.0,False,2014,4.0,"{'minutes': 1, 'seconds': 18}",20.0,41.0
430,Georgia Southern,Sun Belt,TD,"{'minutes': 3, 'seconds': 58}",1.0,"{'minutes': 11, 'seconds': 2}",100.0,400603925.0,4006039251,Georgia,SEC,7.0,True,2015,1.0,{'minutes': 15},39.0,61.0
431,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 55}",1.0,"{'minutes': 9, 'seconds': 7}",69.0,400603925.0,4006039252,Georgia Southern,Sun Belt,3.0,False,2015,1.0,"{'minutes': 11, 'seconds': 2}",33.0,-2.0
432,Georgia Southern,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 54}",1.0,"{'minutes': 6, 'seconds': 13}",41.0,400603925.0,4006039253,Georgia,SEC,6.0,False,2015,1.0,"{'minutes': 9, 'seconds': 7}",38.0,3.0
433,Georgia,SEC,PUNT,"{'minutes': 1, 'seconds': 34}",1.0,"{'minutes': 4, 'seconds': 39}",93.0,400603925.0,4006039254,Georgia Southern,Sun Belt,3.0,False,2015,1.0,"{'minutes': 6, 'seconds': 13}",1.0,6.0
