,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
3789,Texas A&M,SEC,PUNT,"{'minutes': 3, 'seconds': 16}",4.0,"{'minutes': 9, 'seconds': 52}",46.0,400933919.0,40093391923,New Mexico,Mountain West,5.0,False,2017,4.0,"{'minutes': 13, 'seconds': 8}",35.0,24.0
3790,New Mexico,Mountain West,PUNT,"{'minutes': 1, 'seconds': 56}",4.0,"{'minutes': 7, 'seconds': 56}",14.0,400933919.0,40093391924,Texas A&M,SEC,3.0,False,2017,4.0,"{'minutes': 9, 'seconds': 52}",14.0,0.0
3791,Texas A&M,SEC,PUNT,"{'minutes': 2, 'seconds': 10}",4.0,"{'minutes': 5, 'seconds': 46}",45.0,400933919.0,40093391925,New Mexico,Mountain West,3.0,False,2017,4.0,"{'minutes': 7, 'seconds': 56}",50.0,5.0
3792,New Mexico,Mountain West,PUNT,"{'minutes': 1, 'seconds': 57}",4.0,"{'minutes': 3, 'seconds': 49}",18.0,400933919.0,40093391926,Texas A&M,SEC,3.0,False,2017,4.0,"{'minutes': 5, 'seconds': 46}",10.0,8.0
3793,Texas A&M,SEC,PUNT,"{'minutes': 1, 'seconds': 34}",4.0,"{'minutes': 2, 'seconds': 15}",69.0,400933919.0,40093391927,New Mexico,Mountain West,3.0,False,2017,4.0,"{'minutes': 3, 'seconds': 49}",70.0,1.0
3794,New Mexico,Mountain West,PUNT,"{'minutes': 1, 'seconds': 46}",4.0,{'seconds': 29},22.0,400933919.0,40093391928,Texas A&M,SEC,3.0,False,2017,4.0,"{'minutes': 2, 'seconds': 15}",13.0,9.0
3795,Texas A&M,SEC,END OF GAME,{'seconds': 29},4.0,{},75.0,400933919.0,40093391929,New Mexico,Mountain West,1.0,False,2017,4.0,{'seconds': 29},76.0,1.0
3796,Ole Miss,SEC,INT,"{'minutes': 1, 'seconds': 16}",2.0,"{'minutes': 11, 'seconds': 15}",70.0,400933926.0,40093392610,Texas A&M,SEC,3.0,False,2017,2.0,"{'minutes': 12, 'seconds': 31}",70.0,0.0
3797,Texas A&M,SEC,PUNT,"{'minutes': 1, 'seconds': 23}",2.0,"{'minutes': 9, 'seconds': 52}",46.0,400933926.0,40093392611,Ole Miss,SEC,3.0,False,2017,2.0,"{'minutes': 11, 'seconds': 15}",50.0,-4.0
3798,Ole Miss,SEC,PUNT,"{'minutes': 2, 'seconds': 9}",2.0,"{'minutes': 7, 'seconds': 43}",54.0,400933926.0,40093392612,Texas A&M,SEC,4.0,False,2017,2.0,"{'minutes': 9, 'seconds': 52}",84.0,30.0
3799,Texas A&M,SEC,TD,"{'minutes': 3, 'seconds': 19}",2.0,"{'minutes': 4, 'seconds': 24}",100.0,400933926.0,40093392613,Ole Miss,SEC,8.0,True,2017,2.0,"{'minutes': 7, 'seconds': 43}",18.0,82.0
3800,Ole Miss,SEC,TD,"{'minutes': 2, 'seconds': 27}",2.0,"{'minutes': 1, 'seconds': 57}",0.0,400933926.0,40093392614,Texas A&M,SEC,8.0,True,2017,2.0,"{'minutes': 4, 'seconds': 24}",80.0,80.0
3801,Texas A&M,SEC,FG,"{'minutes': 1, 'seconds': 33}",2.0,{'seconds': 24},89.0,400933926.0,40093392615,Ole Miss,SEC,8.0,True,2017,2.0,"{'minutes': 1, 'seconds': 57}",35.0,54.0
3802,Ole Miss,SEC,END OF HALF,{'seconds': 24},2.0,{},60.0,400933926.0,40093392616,Texas A&M,SEC,2.0,False,2017,2.0,{'seconds': 24},68.0,8.0
3803,Ole Miss,SEC,MISSED FG,"{'minutes': 2, 'seconds': 27}",3.0,"{'minutes': 12, 'seconds': 33}",27.0,400933926.0,40093392617,Texas A&M,SEC,8.0,False,2017,3.0,{'minutes': 15},69.0,42.0
