,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
1492,Old Dominion,Conference USA,TD,"{'minutes': 2, 'seconds': 59}",4.0,"{'minutes': 14, 'seconds': 50}",100.0,400938671.0,40093867121,Middle Tennessee,Conference USA,6.0,True,2017,3.0,"{'minutes': 2, 'seconds': 49}",31.0,69.0
1493,Middle Tennessee,Conference USA,PUNT,"{'minutes': 1, 'seconds': 47}",4.0,"{'minutes': 13, 'seconds': 3}",56.0,400938671.0,40093867122,Old Dominion,Conference USA,3.0,False,2017,4.0,"{'minutes': 14, 'seconds': 50}",60.0,4.0
1494,Old Dominion,Conference USA,FG,"{'minutes': 6, 'seconds': 31}",4.0,"{'minutes': 6, 'seconds': 32}",76.0,400938671.0,40093867123,Middle Tennessee,Conference USA,10.0,True,2017,4.0,"{'minutes': 13, 'seconds': 3}",14.0,62.0
1495,Middle Tennessee,Conference USA,TD,"{'minutes': 1, 'seconds': 41}",4.0,"{'minutes': 4, 'seconds': 51}",0.0,400938671.0,40093867124,Old Dominion,Conference USA,5.0,True,2017,4.0,"{'minutes': 6, 'seconds': 32}",75.0,75.0
1496,Old Dominion,Conference USA,END OF GAME,"{'minutes': 4, 'seconds': 51}",4.0,{},93.0,400938671.0,40093867125,Middle Tennessee,Conference USA,7.0,False,2017,4.0,"{'minutes': 4, 'seconds': 51}",65.0,62.0
1497,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 24}",1.0,"{'minutes': 13, 'seconds': 36}",29.0,401013128.0,4010131281,Old Dominion,Conference USA,3.0,False,2018,1.0,{'minutes': 15},25.0,4.0
1498,Old Dominion,Conference USA,PUNT,{'seconds': 44},1.0,"{'minutes': 12, 'seconds': 52}",59.0,401013128.0,4010131282,Virginia Tech,ACC,3.0,False,2018,1.0,"{'minutes': 13, 'seconds': 36}",63.0,4.0
1499,Virginia Tech,ACC,PUNT,"{'minutes': 2, 'seconds': 25}",1.0,"{'minutes': 10, 'seconds': 27}",57.0,401013128.0,4010131283,Old Dominion,Conference USA,7.0,False,2018,1.0,"{'minutes': 12, 'seconds': 52}",1.0,56.0
1500,Old Dominion,Conference USA,TD,{'seconds': 13},1.0,"{'minutes': 10, 'seconds': 14}",0.0,401013128.0,4010131284,Virginia Tech,ACC,1.0,True,2018,1.0,"{'minutes': 10, 'seconds': 27}",87.0,87.0
1501,Virginia Tech,ACC,TD,"{'minutes': 2, 'seconds': 41}",1.0,"{'minutes': 7, 'seconds': 33}",100.0,401013128.0,4010131285,Old Dominion,Conference USA,6.0,True,2018,1.0,"{'minutes': 10, 'seconds': 14}",25.0,75.0
1502,Old Dominion,Conference USA,PUNT,"{'minutes': 3, 'seconds': 52}",1.0,"{'minutes': 3, 'seconds': 41}",40.0,401013128.0,4010131286,Virginia Tech,ACC,8.0,False,2018,1.0,"{'minutes': 7, 'seconds': 33}",77.0,37.0
1503,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 56}",1.0,"{'minutes': 1, 'seconds': 45}",14.0,401013128.0,4010131287,Old Dominion,Conference USA,3.0,False,2018,1.0,"{'minutes': 3, 'seconds': 41}",8.0,6.0
1504,Old Dominion,Conference USA,PUNT,"{'minutes': 1, 'seconds': 45}",1.0,{},55.0,401013128.0,4010131288,Virginia Tech,ACC,3.0,False,2018,1.0,"{'minutes': 1, 'seconds': 45}",53.0,-2.0
1505,Virginia Tech,ACC,PUNT,{'minutes': 15},2.0,{},60.0,401013128.0,4010131289,Old Dominion,Conference USA,4.0,False,2018,2.0,{'minutes': 15},13.0,47.0
1506,Old Dominion,Conference USA,TD,"{'minutes': 2, 'seconds': 1}",1.0,"{'minutes': 12, 'seconds': 59}",100.0,401013448.0,4010134481,Liberty,,6.0,True,2018,1.0,{'minutes': 15},18.0,82.0
1507,Liberty,,DOWNS,"{'minutes': 1, 'seconds': 38}",1.0,"{'minutes': 11, 'seconds': 21}",70.0,401013448.0,4010134482,Old Dominion,Conference USA,4.0,False,2018,1.0,"{'minutes': 12, 'seconds': 59}",75.0,5.0
1508,Old Dominion,Conference USA,TD,"{'minutes': 2, 'seconds': 13}",1.0,"{'minutes': 9, 'seconds': 8}",100.0,401013448.0,4010134483,Liberty,,7.0,True,2018,1.0,"{'minutes': 11, 'seconds': 21}",70.0,30.0
1509,Liberty,,FG,"{'minutes': 3, 'seconds': 10}",1.0,"{'minutes': 5, 'seconds': 58}",31.0,401013448.0,4010134484,Old Dominion,Conference USA,9.0,True,2018,1.0,"{'minutes': 9, 'seconds': 8}",77.0,46.0
1510,Old Dominion,Conference USA,PUNT,"{'minutes': 1, 'seconds': 30}",1.0,"{'minutes': 4, 'seconds': 28}",29.0,401013448.0,4010134485,Liberty,,3.0,False,2018,1.0,"{'minutes': 5, 'seconds': 58}",21.0,8.0
1511,Liberty,,PUNT,"{'minutes': 3, 'seconds': 37}",1.0,{'seconds': 51},37.0,401013448.0,4010134486,Old Dominion,Conference USA,6.0,False,2018,1.0,"{'minutes': 4, 'seconds': 28}",65.0,28.0
1512,Old Dominion,Conference USA,PUNT,{'seconds': 51},1.0,{},40.0,401013448.0,4010134487,Liberty,,7.0,False,2018,1.0,{'seconds': 51},10.0,30.0
1513,Liberty,,TD,"{'minutes': 3, 'seconds': 33}",2.0,"{'minutes': 9, 'seconds': 55}",0.0,401013448.0,4010134488,Old Dominion,Conference USA,9.0,True,2018,2.0,"{'minutes': 13, 'seconds': 28}",72.0,72.0
1514,Old Dominion,Conference USA,PUNT,"{'minutes': 9, 'seconds': 55}",2.0,{},39.0,401013448.0,4010134489,Liberty,,4.0,False,2018,2.0,"{'minutes': 9, 'seconds': 55}",25.0,14.0
1515,Florida International,Conference USA,TD,"{'minutes': 3, 'seconds': 10}",1.0,"{'minutes': 11, 'seconds': 50}",100.0,401014982.0,4010149821,Old Dominion,Conference USA,6.0,True,2018,1.0,{'minutes': 15},25.0,75.0
1516,Old Dominion,Conference USA,PUNT,"{'minutes': 1, 'seconds': 20}",1.0,"{'minutes': 10, 'seconds': 30}",81.0,401014982.0,4010149822,Florida International,Conference USA,3.0,False,2018,1.0,"{'minutes': 11, 'seconds': 50}",81.0,0.0
1517,Florida International,Conference USA,MISSED FG,"{'minutes': 1, 'seconds': 32}",1.0,"{'minutes': 8, 'seconds': 58}",75.0,401014982.0,4010149823,Old Dominion,Conference USA,7.0,False,2018,1.0,"{'minutes': 10, 'seconds': 30}",43.0,32.0
