,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
699,Charlotte,Conference USA,TD,"{'minutes': 1, 'seconds': 58}",1.0,"{'minutes': 6, 'seconds': 25}",0.0,400938627.0,4009386276,Marshall,Conference USA,4.0,True,2017,1.0,"{'minutes': 8, 'seconds': 23}",64.0,64.0
700,Marshall,Conference USA,INT,"{'minutes': 1, 'seconds': 24}",1.0,"{'minutes': 5, 'seconds': 1}",25.0,400938627.0,4009386277,Charlotte,Conference USA,3.0,False,2017,1.0,"{'minutes': 6, 'seconds': 25}",25.0,0.0
701,Marshall,Conference USA,PUNT,"{'minutes': 1, 'seconds': 3}",1.0,"{'minutes': 3, 'seconds': 58}",60.0,400938627.0,4009386279,Charlotte,Conference USA,3.0,False,2017,1.0,"{'minutes': 5, 'seconds': 1}",62.0,-2.0
702,Charlotte,Conference USA,TD,{'minutes': 6},1.0,{'minutes': 9},100.0,400938632.0,4009386321,Western Kentucky,Conference USA,17.0,True,2017,1.0,{'minutes': 15},22.0,78.0
703,Western Kentucky,Conference USA,TD,"{'minutes': 5, 'seconds': 11}",1.0,"{'minutes': 3, 'seconds': 49}",0.0,400938632.0,4009386322,Charlotte,Conference USA,10.0,True,2017,1.0,{'minutes': 9},80.0,80.0
704,Charlotte,Conference USA,TD,"{'minutes': 1, 'seconds': 57}",1.0,"{'minutes': 1, 'seconds': 52}",100.0,400938632.0,4009386323,Western Kentucky,Conference USA,5.0,True,2017,1.0,"{'minutes': 3, 'seconds': 49}",20.0,80.0
705,Western Kentucky,Conference USA,PUNT,"{'minutes': 1, 'seconds': 31}",1.0,{'seconds': 21},71.0,400938632.0,4009386324,Charlotte,Conference USA,3.0,False,2017,1.0,"{'minutes': 1, 'seconds': 52}",75.0,4.0
706,Charlotte,Conference USA,TD,"{'minutes': 3, 'seconds': 29}",2.0,"{'minutes': 11, 'seconds': 52}",100.0,400938632.0,4009386325,Western Kentucky,Conference USA,10.0,True,2017,1.0,{'seconds': 21},31.0,69.0
707,Western Kentucky,Conference USA,TD,{'seconds': 55},2.0,"{'minutes': 10, 'seconds': 57}",0.0,400938632.0,4009386326,Charlotte,Conference USA,2.0,True,2017,2.0,"{'minutes': 11, 'seconds': 52}",89.0,89.0
708,Charlotte,Conference USA,TD,"{'minutes': 2, 'seconds': 11}",2.0,"{'minutes': 8, 'seconds': 46}",100.0,400938632.0,4009386327,Western Kentucky,Conference USA,7.0,True,2017,2.0,"{'minutes': 10, 'seconds': 57}",25.0,75.0
709,Western Kentucky,Conference USA,INT,{'seconds': 16},2.0,"{'minutes': 8, 'seconds': 30}",82.0,400938632.0,4009386328,Charlotte,Conference USA,2.0,False,2017,2.0,"{'minutes': 8, 'seconds': 46}",82.0,0.0
710,Charlotte,Conference USA,FG,{'seconds': 23},2.0,"{'minutes': 8, 'seconds': 7}",74.0,400938632.0,4009386329,Western Kentucky,Conference USA,4.0,True,2017,2.0,"{'minutes': 8, 'seconds': 30}",74.0,0.0
711,UAB,Conference USA,DOWNS,{'minutes': 4},1.0,{'minutes': 11},65.0,400938638.0,4009386381,Charlotte,Conference USA,8.0,False,2017,1.0,{'minutes': 15},31.0,34.0
712,Charlotte,Conference USA,PUNT,"{'minutes': 2, 'seconds': 14}",1.0,"{'minutes': 8, 'seconds': 46}",36.0,400938638.0,4009386382,UAB,Conference USA,5.0,False,2017,1.0,{'minutes': 11},65.0,29.0
