season,game_id,home_team,away_team,neutral_site,home_score,away_score,pred_home_score,pred_away_score,prob_winner,prob_spread,prob_total,total_error,spread_error,home_error,away_error
2014,400547719,South Florida,UCF,False,0,16,6.7298,23.6151,0.6849,0.9799,0.6824,14.3449,0.8853,6.7298,7.6151
2015,400792601,Florida State,South Florida,False,34,14,14.0467,21.7371,0.4298,0.5244,0.7788,12.2162,27.6904,19.9533,7.7371
2015,400763510,Maryland,South Florida,False,35,17,12.2366,28.1915,0.3375,0.3722,0.7611,11.5719,33.9549,22.7634,11.1915
2015,400764875,South Florida,Memphis,False,17,24,21.3574,23.0977,0.5162,0.9023,0.9357,3.4550,5.2597,4.3574,0.9023
2015,400756952,South Florida,Syracuse,False,45,24,17.2397,17.0787,0.5016,0.5967,0.3785,34.6817,20.8390,27.7603,6.9213
2015,400764887,Connecticut,South Florida,False,20,28,13.5973,15.8428,0.5232,0.8812,0.6299,18.5598,5.7545,6.4027,12.1572
2015,400764894,South Florida,SMU,False,38,14,33.0192,13.4826,0.6728,0.9186,0.8998,5.4982,4.4634,4.9808,0.5174
2015,400764899,Navy,South Florida,False,29,17,22.7020,10.8706,0.6326,0.9961,0.7219,12.4273,0.1686,6.2980,6.1294
2015,400764902,East Carolina,South Florida,False,17,22,13.3906,17.1837,0.5378,0.9759,0.8332,8.4257,1.2068,3.6094,4.8163
2015,400764910,South Florida,Temple,False,44,23,15.2887,21.9939,0.4269,0.4463,0.4140,29.7174,27.7052,28.7113,1.0061
2015,400764912,South Florida,Cincinnati,False,65,27,15.3272,21.0372,0.4465,0.3029,0.1897,55.6356,43.7100,49.6728,5.9628
2015,400764918,UCF,South Florida,False,3,44,6.3816,28.7556,0.6976,0.6666,0.7838,11.8628,18.6260,3.3816,15.2444
2016,400869273,South Florida,Northern Illinois,False,48,17,29.9745,21.9731,0.5745,0.5894,0.7594,13.0524,22.9986,18.0255,4.9731
2016,400869443,Syracuse,South Florida,False,20,45,18.6260,33.1617,0.6342,0.8049,0.7552,13.2123,10.4642,1.3740,11.8383
2016,400869448,South Florida,Florida State,False,35,55,19.3958,16.1870,0.4696,0.5810,0.1957,54.4172,23.2088,15.6042,38.8130
2016,400869529,Cincinnati,South Florida,False,20,45,15.0082,16.7136,0.5161,0.5806,0.4300,33.2783,23.2946,4.9918,28.2864
2016,400869535,South Florida,East Carolina,False,38,22,26.9111,18.9628,0.5686,0.8610,0.7587,14.1262,8.0517,11.0889,3.0372
2016,400869540,South Florida,Connecticut,False,42,27,26.8750,9.9853,0.6594,0.9633,0.4343,32.1397,1.8897,15.1250,17.0147
2016,400869542,Temple,South Florida,False,46,30,15.8010,21.3812,0.4495,0.6236,0.3773,38.8178,21.5802,30.1990,8.6188
2016,400869548,South Florida,Navy,False,52,45,21.6320,28.5739,0.4332,0.7356,0.2570,46.7942,13.9419,30.3680,16.4261
2016,400869559,Memphis,South Florida,False,42,49,27.3224,26.8324,0.4958,0.8723,0.4292,36.8452,7.4900,14.6776,22.1676
2016,400869565,SMU,South Florida,False,27,35,27.4191,31.2655,0.5335,0.9277,0.9422,3.3155,4.1536,0.4191,3.7345
2016,400869569,South Florida,UCF,False,48,31,23.0936,17.6524,0.5509,0.7856,0.3680,38.2540,11.5588,24.9064,13.3476
2017,400941786,San José State,South Florida,False,22,42,10.7543,29.9572,0.6692,0.9855,0.5954,23.2885,0.7970,11.2457,12.0428
2017,400941799,South Florida,Illinois,False,47,23,30.5831,6.3666,0.7048,0.9962,0.4625,33.0503,0.2165,16.4169,16.6334
2017,400941803,South Florida,Temple,False,43,7,26.7466,13.9214,0.6199,0.5812,0.8242,9.3320,23.1748,16.2534,6.9214
2017,400941810,East Carolina,South Florida,False,31,61,1.8684,35.3810,0.7872,0.9335,0.1931,54.7506,3.5125,29.1316,25.6190
2017,400941832,South Florida,Cincinnati,False,33,3,36.3094,16.9657,0.6832,0.7929,0.6704,17.2751,10.6564,3.3094,13.9657
2017,400941829,Tulane,South Florida,False,28,34,20.4433,26.0634,0.5562,0.9924,0.6966,15.4933,0.3799,7.5567,7.9366
2017,400941839,South Florida,Houston,False,24,28,28.6419,16.0926,0.3950,0.7253,0.8774,7.2655,16.5494,4.6419,11.9074
2017,400985386,Connecticut,South Florida,False,20,37,20.5498,31.0203,0.5953,0.8804,0.9004,5.4299,6.5296,0.5498,5.9797
2017,400941848,South Florida,Tulsa,False,27,20,27.5475,16.1419,0.6274,0.9001,0.9248,3.3106,4.4056,0.5475,3.8581
2017,400941849,UCF,South Florida,False,49,42,20.9663,17.0432,0.5370,0.9419,0.2096,52.9904,3.0769,28.0337,24.9568
2018,401013100,South Florida,Georgia Tech,False,49,38,14.3322,23.4090,0.3986,0.5697,0.1631,49.2588,20.0767,34.6678,14.5910
2018,401012806,Illinois,South Florida,True,19,25,24.0092,12.7116,0.3837,0.6505,0.8488,7.2792,17.2976,5.0092,12.2884
2018,401019492,South Florida,East Carolina,False,20,13,34.5487,12.0206,0.6807,0.7461,0.7772,13.5693,15.5281,14.5487,0.9794
2018,401013362,UMass,South Florida,False,42,58,22.3094,27.6450,0.5483,0.8083,0.2549,50.0456,10.6644,19.6906,30.3550
2018,401019505,Tulsa,South Florida,False,24,25,5.7290,22.0819,0.6554,0.7073,0.6043,21.1890,15.3529,18.2710,2.9181
2018,401019511,South Florida,Connecticut,False,38,30,32.7449,13.2234,0.6917,0.7676,0.5720,22.0317,11.5216,5.2551,16.7766
2018,401019515,Houston,South Florida,False,57,36,25.4345,18.1247,0.5637,0.7640,0.2782,49.4407,13.6902,31.5655,17.8753
2018,401019521,South Florida,Tulane,False,15,41,22.8571,22.8931,0.5003,0.5469,0.8120,10.2498,25.9640,7.8571,18.1069
2018,401019524,Cincinnati,South Florida,False,35,23,23.9744,17.4763,0.5610,0.8966,0.6958,16.5493,5.5019,11.0256,5.5237
2018,401019533,Temple,South Florida,False,27,17,29.0436,22.9093,0.5504,0.9363,0.8695,7.9529,3.8657,2.0436,5.9093
