,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,,,[],0,Delta State,,SEC,[],39,Mississippi State,21630,False,1937,regular,1937-09-25T00:00:00.000Z,,,2
1,,,[],0,Delta State,,SEC,[],89,Alabama,30203,False,1951,regular,1951-09-21T00:00:00.000Z,,,2
2,,,[],7,Delta State,,FBS Independents,[],17,Northwestern State,46548,False,1976,regular,1976-09-25T00:00:00.000Z,,,4
3,,,[],0,Delta State,,FBS Independents,[],12,Southern Mississippi,56575,False,1990,regular,1990-09-01T00:00:00.000Z,,,2
4,,,[],7,Delta State,,FBS Independents,[],25,Southern Mississippi,57216,False,1991,regular,1991-08-31T00:00:00.000Z,,,1
